ID,WEEK1,WEEK2,WEEK3,WEEK4,WEEK5,WEEK6,WEEK7,WEEK8,WEEK9,WEEK10
87,5.088667,8.742111,13.718,18.54478,24.66622,24.80689,26.79811,29.12266,30.15811,32.79189
90,4.602,9.387667,13.81689,20.60256,27.54956,32.11689,33.89033,35.16711,37.69033,39.13189
91,5.6363335,9.071445,13.71322,20.255995,26.82177,29.65645,32.52433,32.64444,34.42322,38.68011
92,4.4497415,6.711889,9.696222,14.522,19.65678,23.29578,25.73989,26.90389,29.46467,30.428
93,4.3256665,7.588555,12.164001,20.10422,25.559,27.86578,29.13322,32.44278,33.51355,33.95356
94,5.132703833,8.323,12.48622,19.12533,24.189,27.34356,30.44656,33.53167,37.19467,40.23911
96,4.471221833,7.065223,10.711777,17.78978,24.17344,28.808,30.60211,30.85167,32.04245,33.97355
97,4.6298515,7.729222,11.747667,16.86378,21.86178,25.15533,27.771,30.52333,32.321,35.55567
98,4.764370333,8.160778,12.59844,21.43755,28.59678,31.34133,34.24433,36.08945,38.228,37.42911
100,4.854371167,5.544111,9.02511,14.35756,21.14233,24.40578,27.61878,29.84167,32.33467,33.89578
101,5.058924833,8.553667,13.63544,21.83378,26.53067,29.84867,33.00211,37.48,37.83433,42.50567
102,4.560593167,7.530333,11.157667,16.05933,20.67178,23.62311,25.77878,26.19778,29.07322,31.299
103,3.978555333,7.009222,11.046556,17.45267,22.08956,24.45311,27.78767,29.32667,31.88989,34.89567
104,4.998555,9.121667,12.66933,19.41878,25.09389,27.17644,30.49833,30.69834,31.25333,33.71989
105,4.786333,7.81611,12.08711,18.73211,23.48167,28.23089,31.14055,35.45167,39.70778,43.97767
106,4.651778,7.734333,11.306778,17.31367,24.28778,28.07467,30.845,31.88778,34.79922,38.36666
107,3.850666,6.182111,9.573445,15.80033,22.07444,24.83578,27.73056,29.38666,33.28811,32.76778
108,4.898445,8.376555,12.66567,17.88033,22.81,23.50133,25.68611,26.76778,28.41367,29.22778
109,5.026778,8.572333,12.781,19.96745,25.83567,29.49222,32.97078,35.28789,38.43455,40.834
111,4.743,7.752777,11.577112,17.11322,22.74389,25.24644,26.89278,28.42834,29.68778,33.15878
112,5.135222,8.958333,13.36711,18.83544,25.065,27.32978,28.94389,30.425,30.82556,33.84989
113,4.780778,8.232777,13.22156,19.85322,24.27945,27.44089,27.98944,30.19944,30.75222,33.361
114,5.411111,8.547667,12.984,19.46433,24.62222,27.90833,30.44022,31.15033,35.92978,35.48511
115,4.549888,7.263667,11.42144,17.80478,22.25833,24.861,26.78467,28.76866,30.21234,31.17856
116,4.713334,8.284333,12.30844,17.15322,23.3,25.41722,27.18466,28.87589,30.772,32.76734
117,3.77,7.070999,11.534,19.14322,25.77778,28.15167,31.07022,34.12922,35.66756,38.124
118,4.357666,6.864778,11.09811,17.05256,23.56278,28.35434,31.61689,33.53978,36.99678,37.683
120,4.887666,8.155888,12.78144,18.53033,23.04055,24.96544,26.20022,27.62089,30.089,30.83633
121,3.996667,7.599889,11.754,18.45767,23.90889,26.64389,28.848,29.56589,32.80978,33.37622
122,4.867667,7.820333,12.70256,19.13256,25.15056,28.53655,31.10244,32.95755,33.25233,35.00856
123,4.499889,8.123666,13.56033,21.12033,27.385,31.34433,34.22133,35.31978,37.10123,39.22856
124,3.817778,6.066556,9.669556,15.78211,21.30445,23.65167,26.20578,27.62589,29.06645,29.38067
125,4.151,6.992556,11.44478,18.31367,24.32722,28.87322,31.60689,34.12089,35.02566,36.58411
126,5.198111,9.159445,14.45922,22.75656,28.41444,32.06556,35.78711,40.00078,43.83311,47.38833
127,3.804778,8.001667,12.060333,19.67656,27.22,31.13111,33.89044,35.53744,38.47756,41.01833
128,4.534888,8.083445,12.301778,17.90278,23.82278,27.31511,29.82489,31.38467,33.29167,34.97934
129,4.743778,8.559,13.50067,20.66167,26.92278,29.57289,32.03711,33.85133,35.61944,38.61044
130,3.280445,5.857889,9.509556,16.09166,23.60167,27.58289,29.80044,31.368,34.17611,33.976
131,2.151445,5.211667,7.783666,11.186555,17.50222,21.19,24.14155,25.60744,27.59311,29.19278
132,5.137111,8.091222,8.651779,16.18611,23.45056,26.44067,29.906,32.43467,34.00278,37.356
